Full Association Rules (all consequents)
                                                                                                  antecedents                                                                                              consequents   support  confidence      lift
168                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                                  (volatile acidity_volatile acidity_low)  0.118199    0.341155  1.065444
169                                                                   (volatile acidity_volatile acidity_low)                                                            (free sulfur dioxide_free sulfur dioxide_low)  0.120700    0.376953  1.145909
170                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                                  (volatile acidity_volatile acidity_low)  0.120700    0.366920  1.145909
171                                                                   (volatile acidity_volatile acidity_low)                                                          (total sulfur dioxide_total sulfur dioxide_low)  0.123202    0.384766  1.206353
172                                                           (total sulfur dioxide_total sulfur dioxide_low)                                                                  (volatile acidity_volatile acidity_low)  0.123202    0.386275  1.206353
173                                                        (total sulfur dioxide_total sulfur dioxide_medium)                                                                  (volatile acidity_volatile acidity_low)  0.110694    0.319495  0.997797
174                                                                   (volatile acidity_volatile acidity_low)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.110694    0.345703  0.997797
175                                                                   (volatile acidity_volatile acidity_low)                                                                                   (density_density_high)  0.106942    0.333984  0.985316
176                                                                                    (density_density_high)                                                                  (volatile acidity_volatile acidity_low)  0.106942    0.315498  0.985316
177                                                                                     (density_density_low)                                                                  (volatile acidity_volatile acidity_low)  0.121326    0.365348  1.141000
178                                                                   (volatile acidity_volatile acidity_low)                                                                                    (density_density_low)  0.121326    0.378906  1.141000
179                                                                   (volatile acidity_volatile acidity_low)                                                                                              (pH_pH_low)  0.135710    0.423828  1.293323
180                                                                                               (pH_pH_low)                                                                  (volatile acidity_volatile acidity_low)  0.135710    0.414122  1.293323
181                                                                   (volatile acidity_volatile acidity_low)                                                                                           (pH_pH_medium)  0.106316    0.332031  1.024938
